state,county,income_mean,poverty_pct,college,female_count,Total_pop,White,Black,Asian,age_median
36.0,69.0,84783.0,9.6,18.9,55768.0,109472.0,101467.0,2770.0,1455.0,43.5
36.0,81.0,85330.0,13.0,19.9,1183859.0,2298513.0,896722.0,421038.0,580709.0,38.7
36.0,101.0,68301.0,14.0,11.9,48530.0,96927.0,92017.0,1553.0,1484.0,42.6
36.0,115.0,67967.0,12.0,11.6,29826.0,61828.0,57974.0,2025.0,347.0,44.0
36.0,13.0,59330.0,18.7,12.0,65696.0,129656.0,119857.0,3326.0,694.0,42.5
36.0,47.0,85910.0,21.1,22.0,1368835.0,2600747.0,1130251.0,847116.0,306829.0,35.1
36.0,61.0,152002.0,16.6,31.4,860336.0,1632480.0,917402.0,241850.0,196347.0,37.3
36.0,107.0,76161.0,10.5,16.0,24781.0,49045.0,47371.0,322.0,346.0,44.0
36.0,11.0,71215.0,11.7,13.4,37886.0,77868.0,71522.0,3361.0,399.0,42.7
36.0,73.0,64365.0,14.3,9.9,20636.0,41175.0,36583.0,2541.0,326.0,43.2
36.0,91.0,100650.0,6.2,23.6,114909.0,227377.0,211245.0,3960.0,6478.0,42.6
36.0,87.0,119472.0,14.3,22.3,165019.0,323686.0,228967.0,39715.0,19216.0,36.1
36.0,21.0,84495.0,11.9,16.1,30424.0,60919.0,54318.0,2688.0,1127.0,47.8
