CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,13194686,13625582,12392116,12394600,12740538,13060020,(D),13172110,14021096,14526439
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",92,Private services-providing industries 3/,43476358,45731507,48763322,49986994,51525058,53944228,(D),58364095,61972023,64229636
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",1,All industry total,337490277,339658529,366308515,381121690,406459737,431327205,457517341,491152028,511920423,531247412
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",2,  Private industries,303223971,305255781,332087598,346168357,370665111,394473607,419444879,452820782,473579242,492499279
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),262817,(D),(D),(D),(D),(D),(D)
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",476505,479541,608103,530759,324538,604265,653280,311141,314472,254270
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",10,    Utilities,3064875,3102285,3574876,3902817,3840328,4041307,3899038,3757818,4040253,3968327
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",11,    Construction,10896415,11132648,11299973,12457586,12891594,14063232,14849408,15872599,16909065,16537730
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",12,    Manufacturing,48679241,37932349,39361745,43121406,47858468,49389848,54422196,61405306,63297366,65572884
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,11760601,12409614,14230217,14780751,15047789,16441094,17721598,19918002,20955774,21599960
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,38010105,25580594,25131528,28369368,32927352,32998559,36811827,41619790,42466416,44103263
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",34,    Wholesale trade,14984387,15989535,16180881,17230250,19145501,21359901,21078673,22178693,21165923,21064141
